#SampleID	Group	Timepoint	SampleType	Subject
B3_PRE	B	PRE	Biological	B3
B3_POST	B	POST	Biological	B3
B4_PRE	B	PRE	Biological	B4
B4_POST	B	POST	Biological	B4
B5_PRE	B	PRE	Biological	B5
B5_POST	B	POST	Biological	B5
B6_PRE	B	PRE	Biological	B6
B6_POST	B	POST	Biological	B6
B7_PRE	B	PRE	Biological	B7
B7_POST	B	POST	Biological	B7
B8_PRE	B	PRE	Biological	B8
B8_POST	B	POST	Biological	B8
B9_PRE	B	PRE	Biological	B9
B9_POST	B	POST	Biological	B9
B10_PRE	B	PRE	Biological	B10
B10_POST	B	POST	Biological	B10
B11_PRE	B	PRE	Biological	B11
B11_POST	B	POST	Biological	B11
B12_PRE	B	PRE	Biological	B12
B12_POST	B	POST	Biological	B12
B13_PRE	B	PRE	Biological	B13
B13_POST	B	POST	Biological	B13
B14_PRE	B	PRE	Biological	B14
B14_POST	B	POST	Biological	B14
B15_PRE	B	PRE	Biological	B15
B15_POST	B	POST	Biological	B15
B16_PRE	B	PRE	Biological	B16
B16_POST	B	POST	Biological	B16
B17_PRE	B	PRE	Biological	B17
B17_POST	B	POST	Biological	B17
G3_PRE	G	PRE	Biological	G3
G3_POST	G	POST	Biological	G3
G4_PRE	G	PRE	Biological	G4
G4_POST	G	POST	Biological	G4
G5_PRE	G	PRE	Biological	G5
G5_POST	G	POST	Biological	G5
G6_PRE	G	PRE	Biological	G6
G6_POST	G	POST	Biological	G6
G7_PRE	G	PRE	Biological	G7
G7_POST	G	POST	Biological	G7
G8_PRE	G	PRE	Biological	G8
G8_POST	G	POST	Biological	G8
G9_PRE	G	PRE	Biological	G9
G9_POST	G	POST	Biological	G9
G10_PRE	G	PRE	Biological	G10
G10_POST	G	POST	Biological	G10
G12_PRE	G	PRE	Biological	G12
G12_POST	G	POST	Biological	G12
G13_PRE	G	PRE	Biological	G13
G13_POST	G	POST	Biological	G13
G14_PRE	G	PRE	Biological	G14
G14_POST	G	POST	Biological	G14
G15_PRE	G	PRE	Biological	G15
G15_POST	G	POST	Biological	G15
G16_PRE	G	PRE	Biological	G16
G16_POST	G	POST	Biological	G16
G17_PRE	G	PRE	Biological	G17
G17_POST	G	POST	Biological	G17
G18_PRE	G	PRE	Biological	G18
G18_POST	G	POST	Biological	G18
G19_PRE	G	PRE	Biological	G19
G19_POST	G	POST	Biological	G19
NCont_1	NA	NA	ExtractionBlank	NCont_1
NCont_2	NA	NA	PreCaptivityBlank	NCont_2
NCont_3	NA	NA	PostCaptivityBlank	NCont_3
NCont_4	NA	NA	PreCaptivityBlank	NCont_4
NCont_5	NA	NA	MysteryBlank	NCont_5
NCont_6	NA	NA	ExtractionBlank	NCont_6
PCont_1	NA	NA	PositiveControl	PCont_1
PCont_2	NA	NA	PositiveControl	PCont_2
PCont_3	NA	NA	PositiveControl	PCont_3
PCont_4	NA	NA	PositiveControl	PCont_4
RTSF_NTC_1347485	NA	NA	PCRBlank	RTSF_NTC_1347485
ZymoMockDNA_1347486	NA	NA	MockCommunity	ZymoMockDNA_1347486
